meter_id,signal_residual,signal_peer,signal_pattern,signal_feeder,feeder_zone
MTR_0001,0,0,0,1,Zone_1
MTR_0002,0,0,0,0,Zone_2
MTR_0003,0,0,0,0,Zone_3
MTR_0004,0,0,0,1,Zone_4
MTR_0005,1,0,1,1,Zone_5
MTR_0006,0,0,0,1,Zone_1
MTR_0007,0,0,0,0,Zone_2
MTR_0008,0,0,0,0,Zone_3
MTR_0009,0,0,0,1,Zone_4
MTR_0010,0,0,1,1,Zone_5
MTR_0011,0,1,0,1,Zone_1
MTR_0012,0,0,0,0,Zone_2
MTR_0013,0,0,0,0,Zone_3
MTR_0014,1,0,0,1,Zone_4
MTR_0015,0,0,1,1,Zone_5
MTR_0016,0,0,0,1,Zone_1
MTR_0017,0,0,0,0,Zone_2
MTR_0018,0,0,0,0,Zone_3
MTR_0019,0,1,0,1,Zone_4
MTR_0020,0,1,1,1,Zone_5
MTR_0021,0,0,0,1,Zone_1
MTR_0022,0,0,0,0,Zone_2
MTR_0023,0,0,0,0,Zone_3
MTR_0024,1,0,0,1,Zone_4
MTR_0025,0,0,1,1,Zone_5
MTR_0026,0,0,0,1,Zone_1
MTR_0027,0,1,0,0,Zone_2
MTR_0028,0,0,0,0,Zone_3
MTR_0029,1,0,0,1,Zone_4
MTR_0030,0,0,1,1,Zone_5
MTR_0031,0,0,0,1,Zone_1
MTR_0032,0,1,0,0,Zone_2
MTR_0033,0,0,0,0,Zone_3
MTR_0034,0,0,0,1,Zone_4
MTR_0035,0,0,1,1,Zone_5
MTR_0036,0,0,0,1,Zone_1
MTR_0037,0,0,0,0,Zone_2
MTR_0038,0,0,0,0,Zone_3
MTR_0039,0,0,0,1,Zone_4
MTR_0040,1,0,1,1,Zone_5
MTR_0041,0,0,0,1,Zone_1
MTR_0042,0,0,0,0,Zone_2
MTR_0043,0,0,0,0,Zone_3
MTR_0044,0,0,0,1,Zone_4
MTR_0045,1,0,1,1,Zone_5
MTR_0046,0,1,0,1,Zone_1
MTR_0047,0,0,0,0,Zone_2
MTR_0048,0,1,0,0,Zone_3
MTR_0049,1,0,0,1,Zone_4
MTR_0050,1,0,1,1,Zone_5
